ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Naam_47;Code_48;Naam_49;Code_50;Omschrijving_51;Code_52;Omschrijving_53;Inwonertal_54;Omgevingsadressendichtheid_55
137;GM0118    ;GM0118    ;Hoogeveen                                         ;Hoogeveen                                         ;AM03      ;Drenthe                                           ;AR05      ;Noord-Nederland                                   ;CR09      ;Zuidwest-Drenthe                                  ;CS090     ;Zuidwest-Drenthe                                  ;CP0900    ;Zuidwest-Drenthe                                  ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2204    ;Zuidelijk Zandgebied in Drenthe                   ;LG04      ;Oostelijk Veehouderijgebied                       ;LD01      ;Noord-Nederland                                   ;PV22      ;Drenthe                                           ;RE01      ;Noord-Nederland                                   ;ES03      ;Drenthe                                           ;MC09      ;Zuid-West Drenthe                                 ;RA0102    ;Drenthe                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0301    ;Drenthe                                           ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;TG04      ;Bos en Heide Noordoost-Nederland                  ;VT02      ;Drenthe                                           ;VR03      ;Drenthe                                           ;ZK06      ;Drenthe                                           ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;56591;1218
138;GM0405    ;GM0405    ;Hoorn                                             ;Hoorn                                             ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ05      ;West Friesland                                    ;KK41      ;Noordwest                                         ;LB2705    ;West-Friesland en omgeving                        ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC22      ;West-Friesland                                    ;RA0614    ;Noord-Holland Noord                               ;RT11      ;Gerechtshof Amsterdam                             ;ET1503    ;West-Friesland                                    ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT17      ;Noord-Holland Noord                               ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;75645;1731
139;GM1507    ;GM1507    ;Horst aan de Maas                                 ;Horst aan de Maas                                 ;AM29      ;Noord-Limburg                                     ;AR09      ;Limburg                                           ;CR37      ;Noord-Limburg                                     ;CS370     ;Noord-Limburg                                     ;CP3700    ;Noord-Limburg                                     ;GG6011    ;GGD Limburg-Noord                                 ;JZ37      ;Noord-Limburg                                     ;KK44      ;Zuid                                              ;LB3101    ;Noord-Limburg                                     ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES29      ;Noord- en Midden-Limburg                          ;MC38      ;Gewest Limburg-Noord                              ;RA1427    ;Noord- en Midden-Limburg                          ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2901    ;Noord- en Midden-Limburg                          ;TR14      ;Oost-Brabant, Noord- en Midden-Limburg, Nijmegen  ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT13      ;Noord- en Midden Limburg                          ;VR23      ;Limburg-Noord                                     ;ZK17      ;Noord- en Midden-Limburg                          ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;43917;582
140;GM0321    ;GM0321    ;Houten                                            ;Houten                                            ;AM13      ;Midden-Utrecht                                    ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1703    ;Stadsgewest Utrecht                               ;GG2514    ;GGD Regio Utrecht                                 ;JZ26      ;Lekstroom                                         ;KK41      ;Noordwest                                         ;LB2601    ;Kromme Rijn-streek en Heuvelrug                   ;LG10      ;Rivierengebied                                    ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES14      ;U16                                               ;MC19      ;Utrecht                                           ;RA0512    ;Utrecht en omgeving                               ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1401    ;U16                                               ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;50847;1595
141;GM0406    ;GM0406    ;Huizen                                            ;Huizen                                            ;AM12      ;Gooi en Vechtstreek                               ;AR04      ;Midden-Nederland                                  ;CR24      ;Het Gooi en Vechtstreek                           ;CS240     ;Het Gooi en Vechtstreek                           ;CP2400    ;Het Gooi en Vechtstreek                           ;GG3606    ;GGD Gooi en Vechtstreek                           ;JZ16      ;Gooi en Vechtstreek                               ;KK41      ;Noordwest                                         ;LB2707    ;'t Gein en Gooiland                               ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE03      ;Midden-Nederland                                  ;ES16      ;Noord-Holland Zuid                                ;MC20      ;Gooi en Vechtstreek                               ;RA0511    ;Gooi- en Vechtstreek                              ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1604    ;Gooi en Vechtstreek                               ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT07      ;Gooi en Vechtstreek                               ;VR14      ;Gooi en Vechtstreek                               ;ZK21      ;'t Gooi                                           ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;41193;2058
142;GM0677    ;GM0677    ;Hulst                                             ;Hulst                                             ;AM24      ;Zeeland                                           ;AR11      ;Zeeland-West-Brabant                              ;CR31      ;Zeeuwsch-Vlaanderen                               ;CS310     ;Zeeuwsch-Vlaanderen                               ;CP3100    ;Zeeuwsch-Vlaanderen                               ;GG5006    ;GGD Zeeland                                       ;JZ38      ;Zeeland                                           ;KK45      ;Zuidwest                                          ;LB2903    ;Zeeuwsch-Vlaanderen                               ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD03      ;West-Nederland                                    ;PV29      ;Zeeland                                           ;RE08      ;Zeeland - West-Brabant                            ;ES24      ;Zeeland                                           ;MC33      ;Zeeuws-Vlaanderen                                 ;RA1222    ;Zeeland                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2401    ;Zeeland                                           ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT23      ;Zeeland                                           ;VR19      ;Zeeland                                           ;ZK27      ;Zeeland                                           ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;27330;511
143;GM0353    ;GM0353    ;IJsselstein                                       ;IJsselstein                                       ;AM13      ;Midden-Utrecht                                    ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1703    ;Stadsgewest Utrecht                               ;GG2514    ;GGD Regio Utrecht                                 ;JZ26      ;Lekstroom                                         ;KK41      ;Noordwest                                         ;LB2602    ;Westelijk Weidegebied in Utrecht                  ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES14      ;U16                                               ;MC19      ;Utrecht                                           ;RA0512    ;Utrecht en omgeving                               ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1401    ;U16                                               ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;33421;1882
144;GM1884    ;GM1884    ;Kaag en Braassem                                  ;Kaag                                              ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR25      ;Agglomeratie Leiden en Bollenstreek               ;CS250     ;Agglomeratie Leiden en Bollenstreek               ;CP2500    ;Agglomeratie Leiden en Bollenstreek               ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2804    ;Westelijk Rijnland                                ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;ES21      ;Holland Rijnland                                  ;MC26      ;Zuid-Holland-Noord                                ;RA0818    ;Rijn Gouwe                                        ;RT13      ;Gerechtshof Den Haag                              ;ET2101    ;Holland Rijnland                                  ;TR06      ;Hollands-Utrechtse meren                          ;TG02      ;Watersportgebieden                                ;VT10      ;Hollands-Midden                                   ;VR16      ;Hollands-Midden                                   ;ZK28      ;Zuid-Holland Noord                                ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;29168;694
145;GM0166    ;GM0166    ;Kampen                                            ;Kampen                                            ;AM36      ;Regio Zwolle                                      ;AR06      ;Overijssel                                        ;CR10      ;Noord-Overijssel                                  ;CS100     ;Noord-Overijssel                                  ;CP1000    ;Noord-Overijssel                                  ;GG1009    ;GGD IJsselland                                    ;JZ07      ;IJsselland                                        ;KK43      ;Oost                                              ;LB2301    ;Weidegebied in Overijssel                         ;LG03      ;Noordelijk Weidegebied                            ;LD02      ;Oost-Nederland                                    ;PV23      ;Overijssel                                        ;RE02      ;Oost-Nederland                                    ;ES05      ;West-Overijssel                                   ;MC10      ;IJssel-Vecht                                      ;RA0204    ;Regio Zwolle                                      ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0501    ;West-Overijssel                                   ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT11      ;IJsselland                                        ;VR04      ;IJsselland                                        ;ZK32      ;Zwolle                                            ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;56177;1459
146;GM0678    ;GM0678    ;Kapelle                                           ;Kapelle                                           ;AM24      ;Zeeland                                           ;AR11      ;Zeeland-West-Brabant                              ;CR32      ;Overig Zeeland                                    ;CS320     ;Overig Zeeland                                    ;CP3200    ;Overig Zeeland                                    ;GG5006    ;GGD Zeeland                                       ;JZ38      ;Zeeland                                           ;KK45      ;Zuidwest                                          ;LB2902    ;Walcheren en Zuid-Beveland                        ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD03      ;West-Nederland                                    ;PV29      ;Zeeland                                           ;RE08      ;Zeeland - West-Brabant                            ;ES24      ;Zeeland                                           ;MC31      ;Oosterschelde regio                               ;RA1222    ;Zeeland                                           ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2401    ;Zeeland                                           ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT23      ;Zeeland                                           ;VR19      ;Zeeland                                           ;ZK27      ;Zeeland                                           ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;13009;656
147;GM0537    ;GM0537    ;Katwijk                                           ;Katwijk                                           ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR25      ;Agglomeratie Leiden en Bollenstreek               ;CS250     ;Agglomeratie Leiden en Bollenstreek               ;CP2500    ;Agglomeratie Leiden en Bollenstreek               ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2808    ;Bollenstreek                                      ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;ES21      ;Holland Rijnland                                  ;MC26      ;Zuid-Holland-Noord                                ;RA0818    ;Rijn Gouwe                                        ;RT13      ;Gerechtshof Den Haag                              ;ET2101    ;Holland Rijnland                                  ;TR02      ;Noordzeebadplaatsen                               ;TG01      ;Kust                                              ;VT10      ;Hollands-Midden                                   ;VR16      ;Hollands-Midden                                   ;ZK28      ;Zuid-Holland Noord                                ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;66966;2186
148;GM0928    ;GM0928    ;Kerkrade                                          ;Kerkrade                                          ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES30      ;Zuid-Limburg                                      ;MC39      ;Gewest Zuid-Limburg                               ;RA1428    ;Zuid-Limburg                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET3001    ;Parkstad                                          ;TR15      ;Zuid-Limburg                                      ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT25      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;45311;1736
149;GM1598    ;GM1598    ;Koggenland                                        ;Koggenland                                        ;AM15      ;Noord-Holland Noord                               ;AR02      ;Noord-Holland                                     ;CR18      ;Kop van Noord-Holland                             ;CS180     ;Kop van Noord-Holland                             ;CP1800    ;Kop van Noord-Holland                             ;GG2707    ;GGD Hollands-Noorden                              ;JZ05      ;West Friesland                                    ;KK41      ;Noordwest                                         ;LB2705    ;West-Friesland en omgeving                        ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES15      ;Noord-Holland Noord                               ;MC22      ;West-Friesland                                    ;RA0614    ;Noord-Holland Noord                               ;RT11      ;Gerechtshof Amsterdam                             ;ET1503    ;West-Friesland                                    ;TR03      ;IJsselmeerkust                                    ;TG02      ;Watersportgebieden                                ;VT17      ;Noord-Holland Noord                               ;VR10      ;Noord-Holland-Noord                               ;ZK18      ;Noord-Holland Noord                               ;4;20 000 tot 50 000 inwoners                        ;5;Niet stedelijk           ;23587;444
150;GM0542    ;GM0542    ;Krimpen aan den IJssel                            ;Krimpen aan den IJssel                            ;AM22      ;Rijnmond                                          ;AR08      ;Rotterdam                                         ;CR29      ;Groot-Rijnmond                                    ;CS291     ;Rijnmond                                          ;CP2910    ;Rijnmond                                          ;GG4607    ;GGD Rotterdam-Rijnmond                            ;JZ29      ;Rijnmond                                          ;KK45      ;Zuidwest                                          ;LB2806    ;Krimpenerwaard en Oostelijk Rijnland              ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE07      ;Rotterdam                                         ;ES23      ;Rotterdam/Den Haag                                ;MC29      ;Rijnmond                                          ;RA0919    ;Rijnmond                                          ;RT13      ;Gerechtshof Den Haag                              ;ET2301    ;Rotterdam/Den Haag                                ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT18      ;Rotterdam-Rijnmond                                ;VR17      ;Rotterdam-Rijnmond                                ;ZK20      ;Rotterdam                                         ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;29626;1971
151;GM1931    ;GM1931    ;Krimpenerwaard                                    ;Krimpenerwaard                                    ;AM20      ;Midden-Holland                                    ;AR07      ;Den Haag                                          ;CR28      ;Oost-Zuid-Holland                                 ;CS280     ;Oost-Zuid-Holland                                 ;CP2800    ;Oost-Zuid-Holland                                 ;GG4506    ;GGD Hollands-Midden                               ;JZ27      ;Midden Holland                                    ;KK45      ;Zuidwest                                          ;LB2806    ;Krimpenerwaard en Oostelijk Rijnland              ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;ES22      ;Midden-Holland                                    ;MC27      ;Zuid-Holland-Oost                                 ;RA0818    ;Rijn Gouwe                                        ;RT13      ;Gerechtshof Den Haag                              ;ET2201    ;Midden-Holland                                    ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT10      ;Hollands-Midden                                   ;VR16      ;Hollands-Midden                                   ;ZK13      ;Midden-Holland                                    ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;57785;801
152;GM1659    ;GM1659    ;Laarbeek                                          ;Laarbeek                                          ;AM32      ;Helmond-De Peel                                   ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES26      ;Metropoolregio Eindhoven                          ;MC37      ;Zuidoost-Brabant                                  ;RA1326    ;Zuidoost-Brabant                                  ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2601    ;Metropoolregio Eindhoven                          ;TR14      ;Oost-Brabant, Noord- en Midden-Limburg, Nijmegen  ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT27      ;Oost-Brabant                                      ;VR22      ;Brabant-Zuidoost                                  ;ZK30      ;Zuidoost-Brabant                                  ;4;20 000 tot 50 000 inwoners                        ;4;Weinig stedelijk         ;23220;656
153;GM1982    ;GM1982    ;Land van Cuijk                                    ;Land+van+Cuijk                                    ;AM27      ;Noordoost-Brabant                                 ;AR10      ;Oost-Brabant                                      ;CR35      ;Noordoost-Noord-Brabant                           ;CS352     ;Overig Noordoost-Noord-Brabant                    ;CP3520    ;Overig Noordoost-Noord-Brabant                    ;GG5406    ;GGD Hart voor Brabant                             ;JZ33      ;Noordoost Brabant                                 ;KK44      ;Zuid                                              ;LB3009    ;Maaskant en Land van Cuijk                        ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES27      ;Noordoost-Brabant                                 ;MC36      ;Noord-Oost-Brabant                                ;RA1325    ;Noordoost-Brabant                                 ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2701    ;Noordoost-Brabant                                 ;TR14      ;Oost-Brabant, Noord- en Midden-Limburg, Nijmegen  ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT27      ;Oost-Brabant                                      ;VR21      ;Brabant-Noord                                     ;ZK19      ;Noordoost-Brabant                                 ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;91722;651
154;GM0882    ;GM0882    ;Landgraaf                                         ;Landgraaf                                         ;AM30      ;Zuid-Limburg                                      ;AR09      ;Limburg                                           ;CR39      ;Zuid-Limburg                                      ;CS390     ;Zuid-Limburg                                      ;CP3900    ;Zuid-Limburg                                      ;GG6106    ;GGD Zuid-Limburg                                  ;JZ41      ;Zuid-Limburg                                      ;KK44      ;Zuid                                              ;LB3102    ;Zuid-Limburg                                      ;LG14      ;Zuid-Limburg                                      ;LD04      ;Zuid-Nederland                                    ;PV31      ;Limburg                                           ;RE10      ;Limburg                                           ;ES30      ;Zuid-Limburg                                      ;MC39      ;Gewest Zuid-Limburg                               ;RA1428    ;Zuid-Limburg                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET3001    ;Parkstad                                          ;TR15      ;Zuid-Limburg                                      ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT25      ;Zuid-Limburg                                      ;VR24      ;Limburg-Zuid                                      ;ZK31      ;Zuid-Limburg                                      ;4;20 000 tot 50 000 inwoners                        ;3;Matig stedelijk          ;37112;1464
155;GM0415    ;GM0415    ;Landsmeer                                         ;Landsmeer                                         ;AM17      ;Zaanstreek/Waterland                              ;AR02      ;Noord-Holland                                     ;CR23      ;Groot-Amsterdam                                   ;CS232     ;Overig Groot-Amsterdam                            ;CP2321    ;Overig Agglomeratie Amsterdam                     ;GG7306    ;GGD Zaanstreek/Waterland                          ;JZ09      ;Zaanstreek-Waterland                              ;KK41      ;Noordwest                                         ;LB2706    ;Waterland en Noord-Hollandse Droogmakerijen       ;LG08      ;Waterland en Droogmakerijen                       ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE04      ;Noord-Holland                                     ;ES16      ;Noord-Holland Zuid                                ;MC21      ;Agglomeratie Amsterdam                            ;RA0615    ;Zaanstreek en Waterland                           ;RT11      ;Gerechtshof Amsterdam                             ;ET1603    ;Zaanstreek-Waterland                              ;TR06      ;Hollands-Utrechtse meren                          ;TG02      ;Watersportgebieden                                ;VT22      ;Zaanstreek-Waterland                              ;VR11      ;Zaanstreek-Waterland                              ;ZK26      ;Zaanstreek/Waterland                              ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;11661;1042
156;GM1621    ;GM1621    ;Lansingerland                                     ;Lansingerland                                     ;AM34      ;Zuid-Holland Centraal                             ;AR08      ;Rotterdam                                         ;CR29      ;Groot-Rijnmond                                    ;CS291     ;Rijnmond                                          ;CP2910    ;Rijnmond                                          ;GG4607    ;GGD Rotterdam-Rijnmond                            ;JZ29      ;Rijnmond                                          ;KK45      ;Zuidwest                                          ;LB2809    ;Westland en Zuidhollandse Droogmakerijen          ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE07      ;Rotterdam                                         ;ES23      ;Rotterdam/Den Haag                                ;MC29      ;Rijnmond                                          ;RA0919    ;Rijnmond                                          ;RT13      ;Gerechtshof Den Haag                              ;ET2301    ;Rotterdam/Den Haag                                ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT18      ;Rotterdam-Rijnmond                                ;VR17      ;Rotterdam-Rijnmond                                ;ZK33      ;Westland Schieland Delfland                       ;5;50 000 tot 100 000 inwoners                       ;3;Matig stedelijk          ;65594;1367
157;GM0417    ;GM0417    ;Laren (NH.)                                       ;Laren (NH.)                                       ;AM12      ;Gooi en Vechtstreek                               ;AR04      ;Midden-Nederland                                  ;CR24      ;Het Gooi en Vechtstreek                           ;CS240     ;Het Gooi en Vechtstreek                           ;CP2400    ;Het Gooi en Vechtstreek                           ;GG3606    ;GGD Gooi en Vechtstreek                           ;JZ16      ;Gooi en Vechtstreek                               ;KK41      ;Noordwest                                         ;LB2707    ;'t Gein en Gooiland                               ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE03      ;Midden-Nederland                                  ;ES16      ;Noord-Holland Zuid                                ;MC20      ;Gooi en Vechtstreek                               ;RA0511    ;Gooi- en Vechtstreek                              ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1604    ;Gooi en Vechtstreek                               ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;TG03      ;Bos en Heide Midden-Nederland                     ;VT07      ;Gooi en Vechtstreek                               ;VR14      ;Gooi en Vechtstreek                               ;ZK21      ;'t Gooi                                           ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;11439;1118
158;GM0080    ;GM0080    ;Leeuwarden                                        ;Leeuwarden                                        ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2102    ;Weidestreek in Friesland                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;PV21      ;Fryslân                                           ;RE01      ;Noord-Nederland                                   ;ES02      ;Friesland                                         ;MC04      ;Friesland Noord                                   ;RA0103    ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0201    ;Friesland                                         ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT04      ;Friesland                                         ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;6;100 000 tot 150 000 inwoners                      ;2;Sterk stedelijk          ;128810;2238
159;GM0546    ;GM0546    ;Leiden                                            ;Leiden                                            ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR25      ;Agglomeratie Leiden en Bollenstreek               ;CS250     ;Agglomeratie Leiden en Bollenstreek               ;CP2500    ;Agglomeratie Leiden en Bollenstreek               ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2804    ;Westelijk Rijnland                                ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;ES21      ;Holland Rijnland                                  ;MC26      ;Zuid-Holland-Noord                                ;RA0818    ;Rijn Gouwe                                        ;RT13      ;Gerechtshof Den Haag                              ;ET2101    ;Holland Rijnland                                  ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT10      ;Hollands-Midden                                   ;VR16      ;Hollands-Midden                                   ;ZK28      ;Zuid-Holland Noord                                ;6;100 000 tot 150 000 inwoners                      ;1;Zeer sterk stedelijk     ;130108;3914
160;GM0547    ;GM0547    ;Leiderdorp                                        ;Leiderdorp                                        ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR25      ;Agglomeratie Leiden en Bollenstreek               ;CS250     ;Agglomeratie Leiden en Bollenstreek               ;CP2500    ;Agglomeratie Leiden en Bollenstreek               ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2804    ;Westelijk Rijnland                                ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE06      ;Den Haag                                          ;ES21      ;Holland Rijnland                                  ;MC26      ;Zuid-Holland-Noord                                ;RA0818    ;Rijn Gouwe                                        ;RT13      ;Gerechtshof Den Haag                              ;ET2101    ;Holland Rijnland                                  ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT10      ;Hollands-Midden                                   ;VR16      ;Hollands-Midden                                   ;ZK28      ;Zuid-Holland Noord                                ;4;20 000 tot 50 000 inwoners                        ;1;Zeer sterk stedelijk     ;27736;2571
